3D打印	to 3D print
瞳孔	pupil
瞳距	pupillary distance
瞻仰	to revere
瞻前顾后	lit. to look forward an…
瞻拜	to worship
瞻望	to look far ahead
瞻顾	to look forward and bac…
瞿塘峡	Qutang Gorge
瞿秋白	Qu Qiubai
矍铄	hale and hearty
矗立	to tower
矛头	spearhead
矛头指向	to target sb or sth
矛盾	contradiction
矛隼	gyrfalcon
矜功不立	boasts a lot
矜持	reserved
矢口否认	to deny flatly
矢志	to take an oath to do s…
矢量	vector
知乎	Zhihu
知书达理	educated and well-balan…
知了	cicada
知了猴	newly-emerged cicada ny…
知交	intimate friend
知人善任	expert at appointing pe…
知人善用	see 知人善任
知人知面不知心	one may know a person f…
知会	to inform
知其不可而为之	to keep going resolutel…
知其然而不知其所以然	to know that it is so b…
知冷知热	to know whether others …
知县	county head magistrate
知名	well-known
知名人士	public figure
知名度	reputation
知子莫若父	nobody understands one'…
知州	senior provincial gover…
知己	to know oneself
知己知彼	know yourself
知府	prefectural magistrate
知彼知己	to know the enemy and k…
知心	caring
知恩不报	ungrateful
知悉	to know
知悭识俭	to know how to be econo…
知情	to know the facts
知情人	person in the know
知情同意	informed consent
知情达理	see 通情達理|通情达理
知易行难	easy to grasp but diffi…
知晓	to know
知更鸟	redbreast
知母	Anemarrhena asphodeloid…
知法犯法	to know the law and bre…
知耻	to have a sense of shame
知觉	perception
知觉力	ability to perceive
知识	knowledge
知识产权	intellectual property r…
知识共享	Creative Commons
知识分子	intellectual
知识宝库	treasure house of knowl…
知识工程师	knowledge worker
知识库	knowledge base
知识界	intellectual circles
知识论	epistemology
知识越多越反动	the more knowledgeable
知识青年	educated youth
知识面	breadth of knowledge
知趣	to act tactfully
知足	content with one's situ…
知足常乐	satisfied with what one…
知过改过	to acknowledge one's fa…
知遇之恩	lit. the kindness of re…
知道	to know
知道了	OK!
知错能改	to recognize one's mist…
知难而退	lit. to sound out the d…
知青	educated youth
知音	intimate friend
矩尺	set square
矩尺座	Norma
矩形	rectangle
矩阵	array
矫健	strong and healthy
矫味剂	corrective agent
矫形	orthopedic
矫形医生	orthopedic doctor
矫形外科	orthopedic surgery
矫形牙套	orthodontic brace
矫情	argumentative
矫捷	vigorous and nimble
矫揉造作	pretension
矫枉过正	to overcorrect
矫枉过直	see 矯枉過正|矫枉过正
矫正	to correct
矫正透镜	correcting lens
矫治	to correct
矫直机	straightening machine
矫诏	the pretense of acting …
矫饰	to put on airs
短中取长	see 短中抽長|短中抽长
短中抽长	to make the best of a b…
短仓	short position
短传	short pass
短促	short in time
短信	text message
短兵相接	lit. short-weaponed sol…
短剑	dagger
短剧	short play
短句	clause
短吻鳄	alligator
短命	to die young
短命鬼	sb who dies prematurely
短处	shortcoming
短多	good prospects in the s…
短小精悍	short but plucky
短少	to be short of the full…
短尾矮袋鼠	quokka
短尾贼鸥	parasitic jaeger
短尾鹦鹉	vernal hanging parrot
短工	temporary job
短打扮	clothing that exposes t…
短指	brachydactylism
短文	short piece
短斤缺两	to give short weight
短时储存	short-term storage
短时间	short term
短暂	of short duration
短期	short-term
短期融资	short-term financing
短板	short stave of the barr…
短欠	to fall short in one's …
短歌	ballad
短波	shortwave
短波长	short wavelength
短浅	narrow and shallow
短片	short film
短程	short range
短程线	a geodesic
短空	poor prospects in the s…
短简	brief
短篇小说	short story
短粗	stocky
短线	short term
短缺	shortage
短腿猎犬	dachshund
短衣	short garment
短衣帮	lit. short jacket party
短袖	short sleeves
短袜	sock
短裤	short pants
短见	short-sightedness
短视	shortsighted
短视频	short video
短训班	short training course
短讯	SMS
短语	phrase
短跑	sprint
短距离	short distance
短距起落飞机	short takeoff and landi…
短路	short circuit
短靴	ankle boots
矮丑穷	unmarriageable
矮个儿	a person of short statu…
矮人	dwarf
矮凳	low stool
矮化	to become stunted
矮半截	to be inferior to
矮地茶	Japanese ardisia
矮墩墩	pudgy
矮壮素	chlormequat chloride
矮子	short person
矮子里拔将军	lit. choose a general f…
矮小	short and small
矮小精悍	short but intrepid
矮星	dwarf star
矮林	coppice
矮树	short tree
矮油	alternative for 哎呦 "oh …
矮瓜	eggplant
矮矬	short
矮胖	short and stout
矮行星	dwarf planet
矮黑人	Negrito
石作	masonry workshop
石像	stone statue
石像鬼	gargoyle
石刁柏	asparagus
石刻	stone inscription
石勒	Shi Le
石化	to petrify
石化厂	petrochemical plant
石匠	stonemason
石印	lithography
石原慎太郎	Ishihara Shintarō
石台	see 石台縣|石台县
石台县	Shitai
石嘴山	see 石嘴山市
石嘴山市	Shizuishan
石器	stone tool
石器时代	Stone Age
石块	stone
石城县	Shicheng
石墨	black lead
石墨烯	graphene
石墨碳	graphite carbon
石头	stone
石头火锅	claypot
石头记	The Story of the Stone
石女	female suffering absenc…
石子儿	cobble
石家庄	see 石家莊市|石家庄市
石家庄市	Shijiazhuang
石屎森林	concrete jungle
石屏县	Shiping
石峰区	Shifeng
石工	stonemasonry
石库门	"shikumen" style archit…
石投大海	to disappear like a sto…
石拐	see 石拐區|石拐区
石拐区	Shiguai
石敢当	stone tablet erected to…
石斑鱼	grouper
石斛	noble dendrobium
石景山	see 石景山區|石景山区
石景山区	Shijingshan
石松	Lycopodiopsida
石板	slab
石板瓦	slate tile
石板路	road or pavement laid w…
石林	Stone Forest
石林县	see 石林彝族自治縣|石林彝族自治县
石林彝族自治县	Shilin Yi Autonomous Co…
石柱	Shizhu Tujia Autonomous…
石柱县	Shizhu Tujia autonomous…
石柱土家族自治县	Shizhu Tujia Autonomous…
石棉	see 石棉縣|石棉县
石棉县	Shimian
石棉瓦	asbestos roofing sheet
石棺	sarcophagus
石楠	Chinese photinia
石楼	see 石樓縣|石楼县
石楼县	Shilou
石榴	pomegranate
石榴子	pomegranate seeds
石榴树	pomegranate tree
石榴石	garnet
石沉大海	lit. to throw a stone a…
石河子	Shihezi
石河子市	Shixenze shehiri  or Sh…
石油	oil
石油化学	petrochemistry
石油蜡	petroleum wax
石油输出国组织	Organization of Petrole…
石油醚	petroleum ether
石泉	see 石泉縣|石泉县
石泉县	Shiquan
石洞	cave
石涛	Shi Tao
石渠	Sêrxü county  in Garze …
石渠县	Sêrxü
石渠阁	cabinet meeting in 51 B…
石渠阁议	cabinet meeting in 51 B…
石灰	lime
石灰华	travertine
石灰岩	limestone
石灰石	limestone
石炭	coal
石炭井	Shitanjing subdistrict …
石炭井区	Shitanjing subdistrict …
石炭系	carboniferous system
石炭纪	Carboniferous
石炭酸	phenol C6H5OH
石片	slab
石状	stony
石狮	see 石獅市|石狮市
石狮子	guardian lion
石狮市	Shishi
石玉昆	Shi Yukun
石田	Ishida
石田芳夫	Ishida Yoshio
石破天惊	earth-shattering
石碇	Shiding or Shihting tow…
石碇乡	Shiding or Shihting tow…
石碑	stele
石磙	stone roller
石磨	grindstone
石窟	rock cave
石竹	China pink
石竹属	Dianthus genus
石竹目	Class Magnoliopsida
石竹科	Caryophyllaceae family
石笋	stalagmite
石粉	talcum powder
石罅	a crack in a rock
石脑油	naphtha
石膏	gypsum CaSO4·2
石膏墙板	drywall
石膏绷带	plaster cast
石舫	Marble Boat
石花菜	Gelidium amansii
石英	quartz
石英卤素灯	quartz halogen lamp
石英脉	quartz vein
石英表	quartz watch
石英钟	quartz clock
石蒜	red spider lily
石蕊	reindeer moss
石蕊试纸	litmus paper
石虎	Shi Hu
石蜐	goose barnacle
石蜡	paraffin wax
石钟乳	stalactite
石门	see 石門縣|石门县
石门乡	Shimen or Shihmen towns…
石门县	Shimen
石阡县	Shiqian
石阶	stone step
石雕	stone carving
石青	azurite
石首市	Shishou
石鲮鱼	pangolin
石鼓	see 石鼓區|石鼓区
石鼓区	Shigu
石鼓文	early form of Chinese c…
石龙	see 石龍區|石龙区
石龙区	Shilong
石龙子	skink
矸子	see 矸石
矸石	gangue
矻矻	assiduously
矽利康	silicone
矽晶片	silicon chip
矽肺	see 矽肺病
矽肺病	silicosis
矽胶	silica gel
矽谷	Silicon Valley
矿业	mining industry
矿主	proprietor of a mine
矿井	a mine
矿产	minerals
矿产资源	mineral resources
矿体	ore body
矿务局	mining affairs bureau
矿区	Kuang District or Kuang…
矿场	a mine
矿坑	mine
矿层	ore stratum
矿山	mine
矿工	miner
矿床	deposit
矿机	mining machine
矿水	mineral water
矿泉	mineral spring
矿泉水	mineral water
矿渣	slag
矿灯	miner's lamp
矿物	mineral
矿物学	mineralogy
矿物燃料	fossil fuels
矿物质	mineral
矿盐	halite
矿石	ore
矿脂	vaseline
矿脉	vein of ore
矿藏	mineral resources
矿车	miner's cart
矿难	mining disaster
砀山	see 碭山縣|砀山县
砀山县	Dangshan
码农	menial programmer
码分多址	Code Division Multiple …
码头	wharf
码子	numeral
码字	to type
码放	to pile up
码洋	total cover price of al…
码率	bitrate
码表	speedometer
码长城	to play mahjong
砂仁	Amomom
砂囊	gizzard
砂子	sand
砂岩	sandstone
砂拉越	see 沙撈越|沙捞越
砂浆	mortar
砂石	sandstone
砂积矿床	placer
砂糖	granulated sugar
砂糖橘	sugar mandarin
砂纸	sandpaper
砂轮	grinding wheel
砂锅	casserole
砌体	brickwork
砌合法	bond
砌块	building block
砌砖	to lay bricks
砌砖工	bricklaying
砌词捏控	to make an accusation b…
砍价	to bargain
砍伐	to hew
砍伤	to wound with a blade o…
砍刀	machete
砍头	to decapitate
砍断	to chop off
砍杀	to attack with a bladed…
砍树	to chop wood
砍死	to hack to death
砒霜	white arsenic
研习	research and study
研修	to do research work
研修员	research worker
研判	to study and come to a …
研制	to research and manufac…
研华	Advantech
研发	research and development
研定	to consider and decide
研拟	to investigate and plan…
研析	to analyze
研求	to study
研磨	milling
研磨料	abrasive
研磨材料	abrasive
研磨盘	abrasive disk
研究	research
研究中心	research center
研究人员	research worker
研究员	researcher
研究小组	research group
研究所	research institute
研究报告	research report
研究机构	research organization
研究生	graduate student
研究生院	graduate school
研究者	investigator
研究院	research institute
研究领域	research area
研考	to investigate
研讨	discussion
研讨会	discussion forum
研读	to study attentively
研钵	mortar
砖块	brick
砖头	brick
砖瓦	tiles and bricks
砖石	brick
砖窑	brick kiln
砖窑场	brick kiln
砖红土	red brick clay
砗磲	giant clam
砘子	stone roller used to co…
砚台	ink stone
砚山县	Yanshan
砚池	ink stone or ink slab
砚滴	small cup for adding wa…
砚田	ink stone
砚石	ink stone
砝码	standard weight
砣子	emery wheel
砥砺	whetstone
砧木	rootstock
砧板	cutting board
砧骨	incus or anvil bone of …
砭灸术	acupuncture and moxibus…
砭石	stone needle used in ac…
砭骨	to be extremely cold or…
砰砰	slam
破事	trivial matter
破亡	to die out
破产	to go bankrupt
破产者	bankrupt person
破伤风	tetanus
破体字	nonstandard or corrupte…
破例	to make an exception
破关	to solve or overcome
破冰	to break the ice
破冰舰	ice breaker
破冰船	ice breaker
破发	to fall below the issue…
破口	tear or rupture
破口大骂	to let out a torrent of…
破四旧	Destroy the Four Olds
破土	to break ground
破土典礼	ground breaking ceremony
破坏	destruction
破坏性	destructive
破坏活动	sabotage
破壁	dilapidated wall
破壁机	high-speed blender
破壳	to hatch
破处	to break the hymen
破天荒	unprecedented
破家	to destroy one's family
破局	to collapse
破布	rag
破开	to split
破戒	to violate a religious …
破折号	dash
破损	to become damaged
破敝	shabby
破旧	shabby
破旧立新	to get rid of the old t…
破晓	daybreak
破格	to break the rule
破案	to solve a criminal case
破梗	to reveal a spoiler
破洞	a hole
破浪	to set sail
破涕为笑	to turn tears into laug…
破灭	to be shattered
破烂	worn-out
破片	fragment
破瓜	to lose one's virginity
破瓦寒窑	lit. broken tiles
破甲弹	armor piercing shell
破的	to hit the target
破相	to be marred by a scar …
破碎	to smash to pieces
破碗破摔	lit. to smash a cracked…
破竹之势	lit. a force to smash b…
破竹建瓴	lit. smash bamboo
破约	to break a promise
破纪录	to break a record
破绽	split seam
破绽百出	full of flaws
破缺	breaking
破罐破摔	lit. to smash a pot jus…
破胆	to be scared stiff
破茧成蝶	lit. to break through a…
破获	to uncover
破蛹	to emerge from a pupa
破裂	to burst
破裂音	plosive
破解	to break
破解版	cracked version
破译	to decipher
破读	pronunciation of a char…
破财	bankrupt
破财免灾	a financial loss may pr…
破败	to defeat
破败不堪	crushed
破费	to spend
破身	to lose one's virginity
破釜沉舟	lit. to break the cauld…
破钞	to spend money
破镜	broken mirror
破镜重圆	lit. the two halves of …
破门	to burst or force open …
破门而入	to break the door down …
破防	to break through an opp…
破除	to eliminate
破除迷信	to eliminate superstiti…
破鞋	broken shoes
破音字	character with two or m…
破题	to introduce the theme …
破题儿	erhua form of 破題|破题
破题儿第一遭	one's first time ever e…
破颜	to break into a smile
砷中毒	arsenic poisoning
砷化氢	arsine
砷化镓	gallium arsenide
砸场子	to create a disruption …
砸坏	to smash
砸夯	to pound the earth to m…
砸死	to crush to death
砸毁	to destroy
砸烂	to smash
砸破	to break
砸碎	to pulverize
砸钱	to spend big
砸锅	to fail
砸锅卖铁	to be willing to sacrif…
砾岩	conglomerate
砾石	gravel
硅化木	petrified wood
硅基	silicon-based
硅晶片	silicon chip
硅橡胶	silicone rubber
硅灰石	wollastonite CaSiO3
硅片	silicon chip
硅石	siliceous rock
硅肺病	see 矽肺病
硅胶	silica gel
硅脂	silicone grease
硅藻	diatom
硅藻门	Bacillariophyta
硅谷	Silicon Valley
硅质	siliceous
硅质岩	siliceous rock
硅酮	silicone
硅酸	silicic acid
硅酸盐	silicate
硅酸盐水泥	Portland cement
硅铝质	sial rock
硇砂	salammoniac
硐室	chamber
硒鼓	toner cartridge
硕士	master's degree
硕士学位	master's degree
硕士生	Master's degree student
硕大	big
硕大无朋	very big
硕大无比	very big
硕果	major achievement
硕果仅存	only remaining of the g…
硕果累累	heavily laden with fruit
硚口区	Qiaokou
硝化棉	nitrocellulose
硝化甘油	nitroglycerine
硝基苯	nitrobenzene
硝烟	smoke
硝烟滚滚	smoke billows from the …
硝石	niter
硝酸	nitric acid
硝酸甘油	nitroglycerine
硝酸盐	nitrate
硝酸钙	calcium nitrate
硝酸钠	sodium nitrate
硝酸钾	potassium nitrate
硝酸铵	ammonium nitrate
硝酸银	silver nitrate
硫代硫酸钠	sodium hyposulfide
硫化	vulcanization
硫化氢	hydrogen sulfide H2S
硫氰酸	thiocyanic acid
硫氰酸盐	thiocyanate
硫氰酸酶	rhodanase
硫胺素	thiamine
硫酸	sulfuric acid H2SO4
硫酸盐	sulfate
硫酸钙	calcium sulfate
硫酸钠	sodium sulfate
硫酸钡	barium sulfate
硫酸钾	potassium sulfate
硫酸铁	ferrous sulfate
硫酸铜	copper sulfate CuSO4
硫酸铝	aluminum sulfate
硫酸铵	ammonium sulfate
硫酸镁	magnesium sulfate
硫醇	thiol
硫黄	sulfur
硬仗	tough battle
硬件	hardware
硬件平台	hardware platform
硬伤	injury
硬体	hardware
硬刚	to confront sb boldly a…
硬化	to harden
硬卧	hard sleeper
硬壳	crust
硬壳果	nut
硬实	sturdy
硬实力	hard power
硬币	coin
硬币坯	coin blank
硬席	hard seat
硬干	to proceed tenaciously …
硬度	hardness
硬座	hard seat
硬式磁碟机	hard disk
硬性	rigid
硬拉	deadlift
硬拗	to defend an untenable …
硬挺	to endure with all one'…
硬推	to shove
硬撑	to make oneself do sth …
硬是	just
硬朗	robust
硬木	hardwood
硬来	to use force
硬核	hardcore
硬气	firm
硬水	hard water
硬汉	man of steel
硬派	hard-line
硬玉	jadeite
硬生生	stiff
硬皮	crust
硬盘	hard disk
硬目标	hard target
硬着头皮	to brace oneself to do …
硬着陆	hard landing
硬石膏	anhydrite CaSO4
硬碟	hard disk
硬碰硬	to meet force with force
硬磁盘	hard drive
硬笔	generic term for hard w…
硬糖	hard candy
硬纸	cardboard
硬编码	to hard code
硬脂酸	stearic acid
硬脂酸钙	calcium stearate
硬菜	meaty dish
硬要	firmly set on doing sth
硬通货	hard currency
硬逼	to pressure
硬邦邦	very hard
硬顶跑车	sports coupé
硬骨头	resolute individual
硬骨鱼	bony fishes
确乎	really
确保	to ensure
确信	to be convinced
确凿	definite
确凿不移	established and irrefut…
确切	definite
确定	definite
确定性	determinacy
确实	indeed
确山	see 確山縣|确山县
确山县	Queshan
确是	certainly
确有其事	true
确立	to establish
确认	to confirm
确证	to prove
确诊	to make a definite diag…
硼砂	borax
硼酸	boric acid H3BO3
碉堡	pillbox
碌曲	see 碌曲縣|碌曲县
碌曲县	Luqu
碌碌无为	unaccomplished
碌碡	stone roller
碍事	to be in the way
碍于	to be constrained by
碍口	to shy to speak out
碍口识羞	tongue-tied for fear of…
碍手碍脚	to be in the way
碍眼	to be an irksome presen…
碍难	inconvenient
碍难从命	difficult to obey orders
碍面子	for fear of offending sb
碎冰船	ice breaker
碎块	fragment
碎块儿	erhua variant of 碎塊|碎块
碎尸	dismembered body
碎尸万段	to cut up sb's body int…
碎屑	fragments
碎屑岩	clastic rock
碎屑沉积物	clastic sediment
碎布条	shred
碎心裂胆	in mortal fear
碎掉	to drop and smash
碎末	flecks
碎步	small quick steps
碎片	chip
碎片整理	defragmentation
碎石	gravel
碎碎念	to sound like a broken …
碎纸机	paper shredder
碎肉	ground meat
碎裂	to disintegrate
碎钻	small diamonds
碑亭	pavilion housing a stele
碑刻	inscription on stone ta…
碑帖	a rubbing from a stone …
碑座	pedestal for stone tabl…
碑座儿	erhua variant of 碑座
碑志	historical record inscr…
碑文	inscription on a tablet
碑林	Forest of Steles
碑林区	Beilin
碑石	stele
碑碣	stone tablet
碑记	a record of events insc…
碑铭	inscription on stone ta…
碑额	the top part of a tablet
碗柜	cupboard
碗筷	bowl and chopsticks
碗粿	wagui
碘伏	iodophor
碘化钠	sodium iodide NaI
碘化钾	potassium iodide
碘化银	silver iodide
碘酸	iodic acid
碟子	saucer
碟片	disc
碧昂丝	Beyoncé
碧根果	pecan
碧欧泉	Biotherm
碧江	see 碧江區|碧江区
碧江区	Bijiang
碧池	bitch
碧海青天	green sea
碧潭	Bitan or Green Pool on …
碧玉	jasper
碧玺	tourmaline
碧瓦	green
碧眼	blue eyes
碧空	a clear blue sky
碧绿	dark green
碧草如茵	green grass like cushion
碧蓝	dark blue
碧螺春	biluochun or pi lo chun
碧血	blood shed in a just ca…
碰一鼻子灰	lit. to have one's nose…
碰上	to run into
碰倒	to knock sth over
碰击	to knock against
碰到	to come across
碰壁	to hit a wall
碰头	to meet
碰巧	by chance
碰撞	to collide
碰撞造山	collisional orogeny
碰瓷	to scam sb by setting u…
碰瓷儿	erhua form of 碰瓷
碰碰车	bumper car
碰见	to run into
碰触	to touch
碰运气	to try one's luck
碰钉子	to meet with a rebuff
碰面	to meet
碱化	to make basic or alkali…
碱土	alkaline soil
碱土金属	alkaline earth
碱基	chemical base
碱基互补配对	complementary base pair…
碱基对	base pair
碱基配对	base pairing
碱度	alkalinity
碱式盐	alkali salt
碱性	alkaline
碱性土	alkaline soil
碱性电池	alkaline battery
碱性蓝	alkali blue
碱性金属	alkali metal
碱水	lye water
碱荒	alkali wasteland
碱金属	alkali metal
碳中和	carbon neutrality
碳减排	to reduce carbon emissi…
碳化	to carbonize
碳化氢	hydrocarbon
碳化物	carbide
碳化硅	silicon carbide
碳化钙	calcium carbide CaC2
碳原子	carbon atom
碳基	carbon-based
碳性电池	carbon-zinc battery
碳排放	carbon emissions
碳氢化合物	hydrocarbon
碳水	carbohydrate
碳水化合物	carbohydrate
碳汇	carbon credits
碳粉	toner
碳纤维	carbon fiber
碳足印	carbon footprint
碳足迹	carbon footprint
碳酰氯	carbonyl chloride COCl2
碳酸	carbonic acid
碳酸岩	carbonate rock
碳酸氢钠	sodium bicarbonate
碳酸氢铵	ammonium bicarbonate
碳酸盐	carbonate salt
碳酸钙	calcium carbonate
碳酸钠	soda
碳酸钾	potassium carbonate
碳铵	ammonium bicarbonate
碳链	carbon chain
碳链纤维	carbon chain fiber
碳隔离	carbon sequestration
碳黑	soot
碾压	to crush or compact
碾场	to thresh or husk grain…
碾坊	grain mill
碾子	roller
碾子山	see 碾子山區|碾子山区
碾子山区	Nianzishan
碾盘	millstone
碾砣	roller
碾碎	to pulverize
碾磨	to mill
碾米机	rice milling machine
碾轧	see 碾壓|碾压
碾过	to crush sth by running…
磁体	magnet
磁共振	magnetic resonance
磁共振成像	magnetic resonance imag…
磁力	magnetic force
磁力线	line of magnetic flux
磁力链接	magnet link
磁力锁	magnetic lock
磁化	to magnetize
磁单极子	magnetic monopole
磁卡	magnetic card
磁县	Ci County or Cixian
磁吸	to attract metallic obj…
磁吸效应	"magnetic" force that a…
磁场	magnetic field
磁头	magnetic head
磁层	magnetosphere
磁带	magnetic tape
磁带机	tape drive
磁异常	magnetic anomaly
磁性	magnetic
磁悬浮	magnetic levitation
磁感应	magnetic induction
磁感应强度	magnetic field density
磁感线	line of magnetic flux
磁控管	cavity magnetron
磁暴	magnetic storm
磁条	magnetic stripe
磁极	magnetic pole
磁气圈	magnetosphere
磁浮	maglev
磁片	magnetic disk
磁盘	disk
磁盘驱动器	disk drive
磁矩	magnetic moment
磁石	magnet
磁碟	computer disk
磁碟机	disk drive
磁贴	magnetic sticker
磁轨炮	railgun
磁通量	magnetic flux
磁铁	magnet
磁铁矿	magnetite Fe3O4
磁链	magnet link
磁阻	magnetic reluctance
磅礴	majestic
磅秤	scale
磅蛋糕	pound cake
磊磊	big pile of rocks
磊落	big and stout
磊落大方	to be generous in the e…
磋商	to consult
磋磨	to polish and rub
磐安县	Pan'an
磐石	see 磐石市
磐石市	Panshi
磕头	to kowtow
磕头如捣蒜	lit. to kowtow like gri…
磕碰	to knock against
磕磕巴巴	stammering
磕磕绊绊	bumpy
磨不开	to feel embarrassed
磨人	annoying
磨光	to polish
磨刀	to hone
磨刀不误砍柴工	lit. sharpening the axe…
磨刀石	whetstone
磨刀霍霍	lit. to sharpen one's s…
磨制石器	a polished stone  imple…
磨叨	to grumble
磨叽	to dawdle
磨合	to break in
磨嘴	to argue pointlessly
磨嘴皮子	to wear out the skin of…
磨坊	mill
磨坊主	miller
磨子	mill
磨床	grinding machine
磨得开	to feel unembarrassed
磨快	to sharpen
磨折	to torture
磨损	to suffer wear and tear
磨损率	attrition rate
磨料	abrasive material
磨杵成针	to grind an iron bar do…
磨洋工	to idle on the job
磨灭	to obliterate
磨烦	to pester
磨牙	to grind one's teeth
磨皮	to apply a skin-smoothi…
磨盘	lower millstone
磨石	whetstone
磨砂	to scrub with an abrasi…
磨砂机	sander
磨砂玻璃	frosted glass
磨砂膏	facial scrub
磨破口舌	incessant complaining
磨破嘴皮	to talk until one is bl…
磨破嘴皮子	to wear out one's lips
磨砺	to sharpen on grindstone
磨碎	to grind up
磨磨蹭蹭	to dillydally
磨穿铁砚	to grind one's way thro…
磨耗	wear and tear
磨脚石	pumice stone
磨蚀	erosion
磨豆腐	to grumble
磨起泡	friction blister
磨蹭	to rub lightly
磨难	a torment
磴口	see 磴口縣|磴口县
磴口县	Dengkou
磷光	phosphorescence
磷化钙	calcium phosphide
磷火	phosphorescence
磷灰石	apatite
磷矿	phosphate ore
磷矿石	phosphate rock
磷肥	phosphate fertilizer
磷脂	phospholipid
磷虾	krill
磷酸	phosphoric acid
磷酸盐	phosphate
磷酸盐岩	phosphorite
磷酸钙	calcium phosphate 2)
磷酸钠	sodium phosphate
磺胺	sulfa drugs
礁湖星云	Lagoon Nebula
礁溪乡	Jiaoxi or Chiaohsi Town…
礁石	reef
礌石	rocks that can be dropp…
礤床	vegetable shredder
礤床儿	shredder
示众	to publicly expose
示例	to illustrate
示例代码	sample code
示好	to express goodwill
示威	to demonstrate
示威游行	demonstration
示威者	demonstrator
示威运动	rally
示弱	not to fight back
示性类	characteristic class
示恩	to show kindness
示意	to hint
示意图	sketch
示指	index finger
示波器	oscillograph
示范	to demonstrate
示警	to warn
礼义	righteousness
礼义廉耻	propriety
礼乐	rites and music
礼乐崩坏	see 禮崩樂壞|礼崩乐坏
礼仪	etiquette
礼仪之邦	a land of ceremony and …
礼佛	to worship Buddha
礼俗	etiquette
礼制	etiquette
礼券	gift voucher
礼包	gift bag
礼单	list of gifts
礼县	Li County or Lixian
礼品	gift
礼器	ritual object
礼坏乐崩	see 禮崩樂壞|礼崩乐坏
礼堂	assembly hall
礼多人不怪	nobody will find fault …
礼宾	protocol
礼宾员	concierge
礼宾部	concierge department of…
礼尚往来	lit. proper behavior is…
礼崩乐坏	rites and music are in …
礼帽	hat that goes with form…
礼废乐崩	see 禮崩樂壞|礼崩乐坏
礼拜	to attend a religious s…
礼拜一	Monday
礼拜三	Wednesday
礼拜二	Tuesday
礼拜五	Friday
礼拜六	Saturday
礼拜四	Thursday
礼拜堂	chapel
礼拜天	Sunday
礼拜日	Sunday
礼教	Confucian code of ethics
礼数	etiquette
礼服	ceremonial robe
礼服店	nightlife venue where h…
礼泉县	Liquan
礼法	etiquette
礼炮	gun salute
礼炮号	Salyut
礼物	gift
礼节	etiquette
礼花	fireworks
礼让	to show consideration f…
礼记	Classic of Rites
礼貌	courtesy
礼贤下士	respect for the wise
礼赞	to praise
礼轻人意重	slight present but weig…
礼轻情意重	goose feather sent from…
礼遇	courtesy
礼部	Ministry of  Rites
礼部尚书	Director of Board of Ri…
礼金	monetary gift
社交	interaction
社交媒体	social media
社交恐惧症	social phobia
社交才能	social accomplishment
社交牛逼症	extreme gregariousness
社交网站	social networking site
社交舞	social dancing
社会	society
社会主义	socialism
社会主义教育运动	Socialist Education Mov…
社会主义者	socialist
社会事业	social enterprise
社会保险	social security
社会保障	social security
社会信用体系	social credit system
社会党	socialist party
社会公共利益	public interest
社会关怀	social care
社会关系	social relation
社会化	to socialize
社会名流	celebrity
社会团体	social group
社会学	sociology
社会工作	social work
社会工作者	social worker
社会性	social
社会总需求	aggregate social demand
社会服务	social services
社会正义	social justice
社会民主	social democracy
社会民主主义	social democracy
社会民主党	Social Democratic Party
社会活动	social activity
社会环境	social environment
社会科学	social sciences
社会等级	social rank
社会经济	socio-economic
社会融资	private  financing
社会行动	social actions
社会语言学	sociolinguistics
社会达尔文主义	social Darwinism
社会阶层	social class
社保	social insurance
社区	community
社区大学	community college
社员	commune member
社团	association
社头	Shetou Township in Chan…
社头乡	Shetou Township in Chan…
社学	Ming or Qing dynasty sc…
社工	social work
社工人	social worker
社恐	social phobia
社戏	theatrical performance
社招	social recruiting
社教	Socialist education
社旗	see 社旗縣|社旗县
社旗县	Sheqi
社死	to die of embarrassment
社民党	Social Democratic party
社火	festival entertainment
社畜	corporate drone
社科	social science
社科院	Academy of Social Scien…
社稷	state
社群	community
社群媒体	social media
社论	editorial
社评	editorial
社长	president or director
社鼠城狐	lit. rat in a country s…
祁东县	Qidong
祁县	Qi County or Qixian
祁奚之荐	Qi Xi's recommendation
祁连	see 祁連縣|祁连县
祁连县	Qilian
祁连山	Qilian Mountains in Qin…
祁连山脉	Qilian Mountains
祁门	see 祁門縣|祁门县
祁门县	Qimen
祁阳	see 祁陽市|祁阳市
祆教	Zoroastrianism
祈仙台	memorial altar
祈使句	imperative sentence
祈愿	to pray
祈望	to hope
祈求	to pray for
祈祷	to pray
祈福	to pray for blessings
祈福禳灾	to pray for luck and sa…
祓禊	exorcistic ablutions
祓除	to exorcize
祖上	ancestors
祖传	passed on from ancestors
祖先	ancestors
祖冲之	Zu Chongzhi
祖国	motherland
祖国和平统一委员会	Committee for Peaceful …
祖坟	ancestral tomb
祖姑母	father's father's sister
祖宅	ancestral house
祖宗	ancestor
祖居	former residence
祖屋	ancestral house
祖师	founder
祖师爷	founder
祖母	father's mother
祖母绿	emerald
祖父	father's father
祖父母	paternal grandparents
祖父辈	people of one's grandpa…
祖祖辈辈	for generations
祖祠	shrine dedicated to one…
祖籍	ancestral hometown
祖茔	ancestral tomb
祖训	ancestral precepts
祖辈	ancestors
祖马	Zuma
祖鲁	Zulu
祖鲁人	Zulu people
祛暑	to beat the summer heat
